[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5241 bytes= 61
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5242 bytes= 3681
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5243 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5244 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5245 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5246 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5247 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5248 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5249 bytes= 80
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5250 bytes= 117
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => First Key Frame is  5241
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5241 ( 61 )
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5251 bytes= 80
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5242 ( 3681 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => pkt discard  5243
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5244 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5245 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5246 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5247 ( 80 )
